BIOMASS_name,BIOMASS_name2,BIOMASS,ORIGIN,SA,SBR,HHVbiom (MJ/kg),T (K),SR,C (%),N (%),H (%),S (%),O (%),ash (%),VM (%),FC (%),MC (%),REFERENCE
oak wood,oak wood (OAKW),OAKW,wood,2.3333,2.0611,18.16,1173,0.25,49.42,0.81,5.54,0.08,43.83,0.32,84.5,15.18,5.3,https://phyllis.nl/
oat straw,oat straw (OAT),OAT,straw,2.3333,2.0756,18.94,1173,0.25,47.6,0.5,5.8,0.08,40.12,5.9,80.5,13.6,8.2,https://phyllis.nl/
olive pits,olive pits (OP1),OP1,fruit pits,2.3333,2.159,21.39,1173,0.25,48.81,0.36,6.23,0.02,41.42,3.16,78.64,18.2,7.5,https://phyllis.nl/
orange peel and seeds,orange peel and seeds (ORA),ORA,fruit waste,2.3333,1.9872,18.35,1173,0.25,46.4,1.52,5.7,0.05,41.78,4.55,77.11,18.34,7.05,https://phyllis.nl/
palm kernels,palm kernels (PAL),PAL,fruit pits,2.3333,2.198,20.71,1173,0.25,48.34,2.62,6.2,0.26,37.44,5.14,77.28,17.58,11.01,https://doi.org/10.1016/j.fuproc.2007.06.011
peach pits,peach pits (PEP),PEP,fruit pits,2.3333,2.163,19.42,1173,0.25,49.14,0.48,6.34,0.02,42.92,1.1,79.1,19.8,6.4,https://phyllis.nl/
peanut shells,peanut shells (PES1),PES1,nut shells,2.3333,1.9413,18.64,1173,0.25,45.77,1.63,5.46,0.12,41.13,5.89,73.02,21.09,7.99,https://phyllis.nl/
peanut shells,peanut shells (PES2),PES2,nut shells,2.3333,2.0674,17.85,1173,0.25,47.6,1.65,5.35,0.18,37.07,8.15,71.57,20.28,7.99,https://phyllis.nl/
pine bark,pine bark (PINB1),PINB1,bark,2.3333,2.367,21.37,1173,0.25,53.9,0.4,5.8,0.03,38.27,1.6,71.8,26.6,5,https://phyllis.nl/
pine bark,pine bark (PINB2),PINB2,bark,2.3333,2.2747,20.95,1173,0.25,52.5,0.4,5.7,0.03,39.65,1.72,73,25.28,4.74,https://phyllis.nl/
pine sawdust,pine sawdust (PINS1),PINS1,wood,2.3333,2.2419,20.48,1173,0.25,51.33,0.12,6.13,0.02,42.04,0.36,84.44,15.2,8.18,https://phyllis.nl/
pine sawdust,pine sawdust (PINS2),PINS2,wood,2.3333,2.3467,20.77,1173,0.25,53.1,0.17,6.04,0.02,39.34,1.33,80.45,18.22,12.67,https://phyllis.nl/
pine torrefied,pine torrefied (PINT1),PINT1,torrefied wood,2.3333,2.399,21.91,1173,0.25,54.9,0.1,5.8,0.01,38.89,0.3,76.7,23,0,https://doi.org/10.1016/j.fuel.2014.03.057
pine torrefied,pine torrefied (PINT2),PINT2,torrefied wood,2.3333,2.4643,21.82,1173,0.25,55.01,0.2,6.21,0,38.24,0.35,76.4,23.25,2.46,https://phyllis.nl/
pine wood,pine wood (PINW1),PINW1,wood,2.3333,2.2042,20.56,1173,0.25,51.58,0.06,5.78,0.01,42.34,0.23,85.7,14.07,10,https://phyllis.nl/
pine wood,pine wood (PINW2),PINW2,wood,2.3333,2.2899,20.51,1173,0.25,52.42,0.1,6.02,0.09,41,0.37,83.98,15.65,7.07,https://phyllis.nl/
pineapple waste,pineapple waste (PA1),PA1,fruit waste,2.3333,2.1049,19.09,1173,0.25,47.39,1.08,6.13,0,40.31,5.09,73.97,20.94,6.77,https://doi.org/10.1016/j.molliq.2019.111497
pineapple waste,pineapple waste (PA2),PA2,fruit waste,2.3333,2.0788,18.47,1173,0.25,47.3,1.13,6.03,0.21,40.94,4.39,78.82,16.79,6.77,https://phyllis.nl/
pistachio shells,pistachio shells (PIS1),PIS1,nut shells,2.3333,2.2322,19.7,1173,0.25,50.2,0.69,6.32,0.22,41.16,1.41,81.64,16.95,7.54,https://phyllis.nl/
pistachio shells,pistachio shells (PIS2),PIS2,nut shells,2.3333,2.0844,19.26,1173,0.25,48.79,0.56,5.91,0.01,43.6,1.13,82.03,16.84,7.54,https://phyllis.nl/
poplar sawdust,poplar sawdust (POP1),POP1,wood,2.3333,2.1299,19.5,1173,0.25,49.42,0.23,6,0.05,43.08,1.22,85.07,13.71,7.21,https://phyllis.nl/
poplar sawdust,poplar sawdust (POP2),POP2,wood,2.3333,2.0582,19.38,1173,0.25,48.45,0.47,5.85,0.01,43.89,1.33,82.32,16.35,4.8,https://phyllis.nl/
poplar torrefied,poplar torrefied (POPT),POPT,torrefied wood,2.3333,2.2883,21.2,1173,0.25,52.4,0.1,6,0.01,40.89,0.6,76.5,22.9,0,https://phyllis.nl/
prune pits,prune pits (PRU),PRU,fruit pits,2.3333,2.216,20.09,1173,0.25,49.26,0.84,6.59,0.07,41.83,1.41,80.79,17.8,6.4,https://phyllis.nl/
reed canary grass,reed canary grass (GRA),GRA,grass,2.3333,1.9248,19.4,1173,0.25,44.5,0.7,5.8,0.1,41.5,7.4,75.9,16.7,8.2,https://phyllis.nl/
salix wood,salix wood (SAL),SAL,wood,2.3333,2.125,19.4,1173,0.25,48.6,0.5,6.2,0,42.8,1.9,82.6,15.5,11.4,https://phyllis.nl/
spruce torrefied,spruce torrefied (SPRT),SPRT,torrefied wood,2.3333,2.2566,21.4,1173,0.25,51.9,0.1,6,0.01,41.59,0.4,77.8,21.8,0,https://phyllis.nl/
spruce bark,spruce bark (SPR1),SPR1,bark,2.3333,2.1633,19.83,1173,0.25,49.9,0.4,5.9,0.03,41.43,2.34,75.2,22.46,5.25,https://phyllis.nl/
spruce bark,spruce bark (SPR2),SPR2,bark,2.3333,2.2274,20.38,1173,0.25,50.8,0.41,5.89,0.05,39.65,3.2,74.6,22.2,6.7,https://phyllis.nl/
sugarcane bagasse,sugarcane bagasse (SCB),SCB,bagasse,2.3333,1.9333,17.33,1173,0.25,44.8,0.38,5.35,0.01,38.19,11.27,73.78,14.95,10.39,https://phyllis.nl/
sunflower seed shells,sunflower seed shells (SSS1),SSS1,fruit shells,2.3333,2.048,18,1173,0.25,47.4,1.4,5.8,0.05,41.35,4,76.2,19.8,11.32,https://doi.org/10.1016/j.pecs.2003.10.004
sunflower seed shells,sunflower seed shells (SSS2),SSS2,fruit shells,2.3333,2.0934,19.79,1173,0.25,48.25,0.81,5.84,0.24,41.03,3.83,72.56,23.61,11.85,https://phyllis.nl/
sunflower seed shells,sunflower seed shells (SSS3),SSS3,fruit shells,2.3333,2.2446,20.23,1173,0.25,50.79,0.59,6,0.12,39.4,3.1,70,26.9,11.6,https://phyllis.nl/
switchgrass,switchgrass (SWI),SWI,grass,2.3333,2.0214,18.64,1173,0.25,46.86,0.58,5.85,0.11,42.01,4.59,79.19,16.22,8.16,https://phyllis.nl/
vine shoots,vine shoots (VIN),VIN,stalks,2.3333,2.0324,18.81,1173,0.25,48.15,0.81,5.61,0,42.84,2.59,77.65,19.76,8.93,https://phyllis.nl/
walnut shells,walnut shells (WAL),WAL,nut shells,2.3333,2.1102,20.18,1173,0.25,49.98,0.21,5.71,0.01,43.53,0.56,78.28,21.16,6.1,https://phyllis.nl/
wheat straw,wheat straw (WHE),WHE,straw,2.3333,2.019,18.58,1173,0.25,46.74,0.71,5.73,0.11,40.89,5.82,78.72,15.46,9.74,https://phyllis.nl/
white fir wood,white fir wood (FIR),FIR,wood,2.3333,2.1921,19.67,1173,0.25,50.72,0.3,5.99,0,42.49,0.5,83.69,15.81,9.53,https://phyllis.nl/
willow wood,willow wood (WILL),WILL,wood,2.3333,2.2351,20.16,1173,0.25,49.3,1.1,6.6,0.1,40.8,2.1,78.6,19.3,11.1,https://phyllis.nl/
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
